order_id,customer_id,product_sku,quantity,unit_price,revenue_usd,currency,status,region,created_at
ORD-100000,CUST-00229,SKU-0006,4,102.81,411.24,USD,paid,,2026-03-08T06:55:00Z
ORD-100001,CUST-00225,SKU-0010,3,51.21,153.63,USD,pending,,2026-01-20T09:30:00Z
ORD-100002,CUST-00147,SKU-0023,3,477.99,1433.97,USD,paid,EMEA,2026-03-29T03:47:00Z
ORD-100003,CUST-00222,SKU-0008,3,499.28,1497.84,USD,pending,,2026-03-06T10:56:00Z
ORD-100004,CUST-00125,SKU-0034,3,10.72,32.16,USD,refunded,,2026-03-24T11:04:00Z
ORD-100005,CUST-00200,SKU-0022,1,473.45,473.45,USD,paid,,2026-02-06T05:37:00Z
ORD-100006,CUST-00331,SKU-0012,10,308.35,3083.50,USD,refunded,,2026-02-11T18:50:00Z
ORD-100007,CUST-00235,SKU-0016,5,80.71,403.55,USD,paid,,2026-04-19T08:41:00Z
ORD-100008,CUST-00154,SKU-0040,7,352.89,2470.23,USD,paid,APAC,2026-03-11T00:08:00Z
ORD-100009,CUST-00270,SKU-0023,3,488.33,1464.99,USD,paid,AMER,2026-04-21T02:39:00Z
ORD-100010,CUST-00179,SKU-0033,11,144.47,1589.17,USD,refunded,,2026-02-01T08:46:00Z
ORD-100011,CUST-00143,SKU-0012,10,452.46,4524.60,USD,paid,,2026-02-20T07:02:00Z
ORD-100012,CUST-00306,SKU-0036,9,287.38,2586.42,USD,paid,AMER,2026-02-22T10:33:00Z
ORD-100013,CUST-00088,SKU-0020,12,188.38,2260.56,USD,paid,,2026-03-19T11:55:00Z
ORD-100014,CUST-00186,SKU-0025,1,73.52,73.52,USD,paid,,2026-01-23T09:19:00Z
ORD-100015,CUST-00329,SKU-0020,6,290.02,1740.12,USD,paid,AMER,2026-04-08T17:46:00Z
ORD-100016,CUST-00128,SKU-0036,10,359.78,3597.80,USD,pending,,2026-04-07T09:56:00Z
ORD-100017,CUST-00442,SKU-0007,6,470.90,2825.40,USD,paid,AMER,2026-02-19T02:01:00Z
ORD-100018,CUST-00243,SKU-0007,11,279.00,3069.00,USD,paid,AMER,2026-02-15T16:37:00Z
ORD-100019,CUST-00315,SKU-0034,11,118.10,1299.10,USD,paid,,2026-01-28T04:16:00Z
ORD-100020,CUST-00147,SKU-0002,6,135.36,812.16,USD,paid,,2026-03-13T14:46:00Z
ORD-100021,CUST-00213,SKU-0037,11,171.08,1881.88,USD,refunded,APAC,2026-02-09T12:13:00Z
ORD-100022,CUST-00089,SKU-0014,11,353.76,3891.36,USD,paid,APAC,2026-01-29T05:38:00Z
ORD-100023,CUST-00286,SKU-0002,8,93.01,744.08,USD,paid,,2026-02-06T18:52:00Z
ORD-100024,CUST-00398,SKU-0026,11,17.11,188.21,USD,paid,AMER,2026-01-20T08:07:00Z
ORD-100025,CUST-00279,SKU-0030,5,247.00,1235.00,USD,refunded,AMER,2026-02-14T00:00:00Z
ORD-100026,CUST-00334,SKU-0028,2,256.96,513.92,USD,paid,AMER,2026-02-16T01:17:00Z
ORD-100027,CUST-00068,SKU-0011,7,356.94,2498.58,USD,paid,APAC,2026-01-16T03:28:00Z
ORD-100028,CUST-00329,SKU-0038,6,472.04,2832.24,USD,paid,,2026-01-04T06:43:00Z
ORD-100029,CUST-00102,SKU-0007,6,180.86,1085.16,USD,paid,AMER,2026-03-04T05:40:00Z
ORD-100030,CUST-00128,SKU-0018,3,464.86,1394.58,USD,pending,AMER,2026-04-08T07:17:00Z
ORD-100031,CUST-00192,SKU-0032,7,334.12,2338.84,USD,paid,AMER,2026-03-13T14:32:00Z
ORD-100032,CUST-00283,SKU-0012,3,29.63,88.89,USD,pending,,2026-02-02T06:30:00Z
