order_id,customer_id,product_sku,quantity,unit_price,revenue_usd,currency,status,region,created_at
ORD-100000,CUST-00229,SKU-0006,4,102.81,53.46,USD,paid,AMER,2026-03-08T06:55:00Z
ORD-100001,CUST-00225,SKU-0010,3,51.21,19.97,USD,pending,APAC,2026-01-20T09:30:00Z
ORD-100002,CUST-00147,SKU-0023,3,477.99,186.42,USD,paid,EMEA,2026-03-29T03:47:00Z
ORD-100003,CUST-00222,SKU-0008,3,499.28,194.72,USD,pending,EMEA,2026-03-06T10:56:00Z
ORD-100004,CUST-00125,SKU-0034,3,10.72,4.18,USD,refunded,AMER,2026-03-24T11:04:00Z
ORD-100005,CUST-00200,SKU-0022,1,473.45,61.55,USD,paid,APAC,2026-02-06T05:37:00Z
ORD-100006,CUST-00331,SKU-0012,10,308.35,400.86,USD,refunded,LATAM,2026-02-11T18:50:00Z
ORD-100007,CUST-00235,SKU-0016,5,80.71,52.46,USD,paid,EMEA,2026-04-19T08:41:00Z
ORD-100008,CUST-00154,SKU-0040,7,352.89,321.13,USD,paid,APAC,2026-03-11T00:08:00Z
ORD-100009,CUST-00270,SKU-0023,3,488.33,190.45,USD,paid,AMER,2026-04-21T02:39:00Z
ORD-100010,CUST-00179,SKU-0033,11,144.47,206.59,USD,refunded,AMER,2026-02-01T08:46:00Z
ORD-100011,CUST-00143,SKU-0012,10,452.46,588.20,USD,paid,EMEA,2026-02-20T07:02:00Z
ORD-100012,CUST-00306,SKU-0036,9,287.38,336.23,USD,paid,AMER,2026-02-22T10:33:00Z
ORD-100013,CUST-00088,SKU-0020,12,188.38,293.87,USD,paid,AMER,2026-03-19T11:55:00Z
ORD-100014,CUST-00186,SKU-0025,1,73.52,9.56,USD,paid,AMER,2026-01-23T09:19:00Z
ORD-100015,CUST-00329,SKU-0020,6,290.02,226.22,USD,paid,AMER,2026-04-08T17:46:00Z
ORD-100016,CUST-00128,SKU-0036,10,359.78,467.71,USD,pending,APAC,2026-04-07T09:56:00Z
ORD-100017,CUST-00442,SKU-0007,6,470.90,367.30,USD,paid,AMER,2026-02-19T02:01:00Z
ORD-100018,CUST-00243,SKU-0007,11,279.00,398.97,USD,paid,AMER,2026-02-15T16:37:00Z
ORD-100019,CUST-00315,SKU-0034,11,118.10,168.88,USD,paid,APAC,2026-01-28T04:16:00Z
ORD-100020,CUST-00147,SKU-0002,6,135.36,105.58,USD,paid,LATAM,2026-03-13T14:46:00Z
ORD-100021,CUST-00213,SKU-0037,11,171.08,244.64,USD,refunded,APAC,2026-02-09T12:13:00Z
ORD-100022,CUST-00089,SKU-0014,11,353.76,505.88,USD,paid,APAC,2026-01-29T05:38:00Z
ORD-100023,CUST-00286,SKU-0002,8,93.01,96.73,USD,paid,,2026-02-06T18:52:00Z
ORD-100024,CUST-00398,SKU-0026,11,17.11,24.47,USD,paid,AMER,2026-01-20T08:07:00Z
ORD-100025,CUST-00279,SKU-0030,5,247.00,160.55,USD,refunded,AMER,2026-02-14T00:00:00Z
ORD-100026,CUST-00334,SKU-0028,2,256.96,513.92,USD,paid,AMER,2026-02-16T01:17:00Z
ORD-100027,CUST-00068,SKU-0011,7,356.94,324.82,USD,paid,APAC,2026-01-16T03:28:00Z
ORD-100028,CUST-00329,SKU-0038,6,472.04,368.19,USD,paid,LATAM,2026-01-04T06:43:00Z
ORD-100029,CUST-00102,SKU-0007,6,180.86,141.07,USD,paid,AMER,2026-03-04T05:40:00Z
ORD-100030,CUST-00128,SKU-0018,3,464.86,181.30,USD,pending,AMER,2026-04-08T07:17:00Z
ORD-100031,CUST-00192,SKU-0032,7,334.12,304.05,USD,paid,AMER,2026-03-13T14:32:00Z
ORD-100032,CUST-00283,SKU-0012,3,29.63,11.56,USD,pending,AMER,2026-02-02T06:30:00Z
ORD-100033,CUST-00290,SKU-0039,1,346.91,45.10,USD,pending,AMER,2026-04-30T11:32:00Z
ORD-100034,CUST-00081,SKU-0029,9,141.07,165.05,USD,paid,APAC,2026-01-24T13:31:00Z
ORD-100035,CUST-00168,SKU-0011,2,115.11,29.93,USD,paid,EMEA,2026-03-21T06:12:00Z
ORD-100036,CUST-00323,SKU-0019,1,436.14,56.70,USD,refunded,APAC,2026-02-11T01:07:00Z
ORD-100037,CUST-00104,SKU-0013,5,369.34,240.07,USD,paid,EMEA,2026-03-19T03:18:00Z
ORD-100038,CUST-00449,SKU-0037,5,309.68,201.29,USD,paid,AMER,2026-02-21T06:02:00Z
ORD-100039,CUST-00312,SKU-0017,11,37.07,407.77,USD,paid,AMER,2026-03-31T22:08:00Z
ORD-100040,CUST-00255,SKU-0016,12,68.01,106.10,USD,paid,EMEA,2026-01-02T04:29:00Z
ORD-100041,CUST-00280,SKU-0028,6,322.86,251.83,USD,paid,EMEA,2026-04-28T23:54:00Z
ORD-100042,CUST-00364,SKU-0025,2,57.96,15.07,USD,paid,AMER,2026-02-04T12:20:00Z
ORD-100043,CUST-00059,SKU-0022,9,367.90,430.44,USD,paid,EMEA,2026-01-26T21:01:00Z
ORD-100044,CUST-00288,SKU-0039,6,252.88,197.25,USD,paid,APAC,2026-04-22T02:00:00Z
ORD-100045,CUST-00273,SKU-0008,11,409.54,585.64,USD,paid,AMER,2026-04-03T17:30:00Z
ORD-100046,CUST-00168,SKU-0029,10,474.73,617.15,USD,cancelled,APAC,2026-04-28T18:56:00Z
ORD-100047,CUST-00207,SKU-0003,8,153.04,159.16,USD,pending,AMER,2026-02-18T03:08:00Z
ORD-100048,CUST-00315,SKU-0005,11,436.23,623.81,USD,paid,EMEA,2026-03-23T10:11:00Z
ORD-100049,CUST-00377,SKU-0010,8,174.66,181.65,USD,paid,LATAM,2026-03-26T06:05:00Z
ORD-100050,CUST-00395,SKU-0038,3,376.59,146.87,USD,paid,AMER,2026-01-03T02:38:00Z
ORD-100051,CUST-00060,SKU-0020,5,423.42,2117.10,USD,refunded,APAC,2026-04-30T10:43:00Z
ORD-100052,CUST-00409,SKU-0019,1,358.83,46.65,USD,refunded,EMEA,2026-03-31T06:14:00Z
ORD-100053,CUST-00184,SKU-0038,6,326.24,254.47,USD,paid,AMER,2026-01-30T01:06:00Z
ORD-100054,CUST-00071,SKU-0009,2,189.59,49.29,USD,paid,AMER,2026-03-26T16:49:00Z
ORD-100055,CUST-00211,SKU-0032,1,18.08,2.35,USD,pending,AMER,2026-02-08T23:20:00Z
ORD-100056,CUST-00015,SKU-0029,1,432.84,56.27,USD,paid,AMER,2026-03-11T02:12:00Z
ORD-100057,CUST-00372,SKU-0015,4,179.52,93.35,USD,paid,AMER,2026-03-30T21:29:00Z
ORD-100058,CUST-00286,SKU-0006,7,155.04,141.09,EUR,paid,AMER,2026-02-08T07:21:00Z
ORD-100059,CUST-00150,SKU-0029,9,363.02,424.73,USD,refunded,APAC,2026-03-22T12:03:00Z
ORD-100060,CUST-00066,SKU-0023,2,428.81,111.49,USD,paid,EMEA,2026-01-24T10:42:00Z
ORD-100061,CUST-00418,SKU-0016,3,413.28,161.18,USD,paid,EMEA,2026-02-06T08:38:00Z
ORD-100062,CUST-00412,SKU-0025,12,37.88,454.56,USD,paid,AMER,2026-01-22T14:05:00Z
ORD-100063,CUST-00433,SKU-0028,6,422.06,329.21,USD,paid,APAC,2026-04-02T21:23:00Z
ORD-100064,CUST-00124,SKU-0023,7,469.22,426.99,USD,paid,EMEA,2026-02-23T13:17:00Z
ORD-100065,CUST-00366,SKU-0001,2,70.06,18.22,USD,paid,AMER,2026-04-20T11:19:00Z
ORD-100066,CUST-00131,SKU-0014,8,347.23,361.12,USD,paid,AMER,2026-01-06T20:26:00Z
ORD-100067,CUST-00413,SKU-0027,1,108.01,14.04,USD,paid,AMER,2026-01-17T14:52:00Z
ORD-100068,CUST-00287,SKU-0002,12,452.97,706.63,USD,paid,EMEA,2026-03-26T07:55:00Z
ORD-100069,CUST-00162,SKU-0010,11,483.49,691.39,USD,paid,AMER,2026-04-25T15:58:00Z
ORD-100070,CUST-00149,SKU-0027,6,461.60,360.05,USD,pending,AMER,2026-01-11T11:25:00Z
ORD-100071,CUST-00344,SKU-0015,10,86.81,112.85,USD,paid,EMEA,2026-02-02T04:38:00Z
ORD-100072,CUST-00401,SKU-0004,6,101.45,79.13,USD,paid,EMEA,2026-04-21T09:14:00Z
ORD-100073,CUST-00145,SKU-0040,10,327.11,425.24,USD,paid,EMEA,2026-02-19T13:01:00Z
ORD-100074,CUST-00027,SKU-0017,8,89.13,92.70,USD,refunded,AMER,2026-02-01T14:44:00Z
ORD-100075,CUST-00112,SKU-0013,10,99.17,128.92,USD,paid,EMEA,2026-04-10T03:03:00Z
ORD-100076,CUST-00033,SKU-0003,5,120.67,78.44,USD,paid,APAC,2026-02-13T14:52:00Z
ORD-100077,CUST-00243,SKU-0040,12,292.50,3510.00,USD,paid,EMEA,2026-03-01T14:08:00Z
ORD-100078,CUST-00422,SKU-0001,3,315.52,123.05,USD,paid,EMEA,2026-01-29T11:19:00Z
ORD-100079,CUST-00297,SKU-0015,11,216.54,309.65,USD,paid,AMER,2026-01-24T09:27:00Z
ORD-100080,CUST-00327,SKU-0015,11,350.24,500.84,USD,paid,EMEA,2026-02-23T09:06:00Z
ORD-100081,CUST-00147,SKU-0039,2,357.76,93.02,USD,paid,APAC,2026-03-19T21:56:00Z
